Key,English,Japanese,Korean,ChineseSimplified,ChineseTraditional
editor.directorcamera.option.camera_sustain_time.time_value,Time Value,,시간에 따라,,
editor.directorcamera.option.finish_recover_type.keep_state,Keep State,,상태 유지,,
editor.directorcamera.option.finish_recover_type.recover_state,Recover State,,상태 복구,,
editor.directorcamera.option.type.dolly_cam,Dolly Camera,,돌리 카메라,,
editor.directorcamera.option.type.fixed_cam,Fixed Camera,,고정 카메라,,
editor.directorcameraoption..camera_sustain_time.by_camera_path,By Camera Path,,카메라 패스에 따라,,
editor.environment.environment,Environment Settings,,환경설정,,
editor.environment.othersettings,Other Settings,,기타 설정,,
editor.flowvo.button.add_connection,Add Connection,,연결 추가,,
editor.flowvo.button.add_event,Add Event,,이벤트 추가,,
editor.flowvo.button.add_sequence,Add Sequence,,시퀀스 추가,,
editor.flowvo.label.connection,Connection,,연결,,
editor.flowvo.label.event_name,Event Name,,이벤트 이름,,
editor.flowvo.label.event_type,Event Type,,이벤트 타입,,
editor.flowvo.label.sequence_end_type,Sequence End Type,,시퀀스 종료 방식,,
editor.flowvo.label.sequencesetting,Sequence Settings,,시퀀스 설정,,
editor.flowvo.label.sequencename,Sequence Name,,시퀀스 이름,,
editor.flowvo.label.time,Time,,시간,,
editor.flowvo.lable.end_game,End Game,,게임 종료,,
editor.flowvo.lable.opening,Opening,,오프닝,,
editor.flowvo.lable.player_entry,Player Entry,,플레이어 입장,,
editor.flowvo.lable.playing,Playing,,플레이 중,,
editor.flowvo.option.end_type.by_event,End by Event,,이벤트로 종료,,
editor.flowvo.option.end_type.by_time,End by Time,,시간으로 종료,,
editor.uiservice.label.control,Control,,컨트롤,,
editor.uiservice.label.stageinfo,Stage Info,,스테이지 정보,,
editor.uiservice.label.playerplate,Player Plate,,플레이어 정보,,
editor.uiplayercontrolbuttonvo.label.showuiatstart,Show UI at Start,,시작 시 UI 표시,,
editor.uiplayercontrolbuttonvo.label.usetobutton,Use Button,,버튼 사용,,
editor.globalvolume.bloom,Bloom,,블룸,,
editor.globalvolume.coloradjustments,Color Adjustments,,컬러 조정,,
editor.globalvolume.Scatter,Scatter,,흐트러짐,,
editor.globalvolume.contrast,Contrast,,대비,,
editor.globalvolume.saturation,Saturation,,채도,,
editor.cameraservice.label.cameraoption,Camera Options,,카메라 옵션,,
editor.cameraservice.label.StartCamera,Start Camera,,시작 카메라,,
editor.rendersettingvo.label.skyboxmaterial,Skybox Material,,스카이 박스 머티리얼,,
editor.rendersettingvo.label.lightflare,Light Flare,,라이트 플레어,,
editor.menu.label.project_setting,Project Settings,,프로젝트  설정,,
editor.menu.label.buildbundle,Build Bundle,,빌드 번들,,
editor.menu.label.eventchaineditor,Event Chain Editor,,이벤트 체인 에디터,,
editor.menu.label.gameframeworkbundle,Game Framework Bundle,,게임 프레임워크 번들,,
editor.menu.label.publish,Publish,,출판,,
editor.menu.label.datamanager,Manage Data,,데이터 관리,,
editor.sequencedrawer.currentsequence,Current Sequence,,현재 시퀀스,,
editor.sequencedrawer.sequencedata,Sequence Data,,시퀀스 데이터,,
editor.spawnpoint.label.appearance_type,Appearance Type,,등장 타입,,
editor.spawnpoint.label.player_setting_data,Player Setting Data,,플레이어 설정 데이터,,
editor.spawnpoint.label.set_as_start_point,Set as Start Point,,시작 위치로 설정,,
editor.spawnpoint.label.spawn_range_radius,Spawn Radius,,스폰 반경,,
editor.spawnpoint.label.spawn_type,Spawn Type,,스폰 타입,,
editor.spawnpoint.option.appearance_type.balloon_glide,Balloon Glide Entry,,풍선 활강 등장,,
editor.spawnpoint.option.appearance_type.holding_balloon,Holding Balloon Entry,,풍선 들고 등장,,
editor.spawnpoint.option.spawn_type.neutral,Neutral,,중립,,
editor.spawnpoint.option.spawn_type.team_color,Team Color,,팀 컬러,,
editor.window.button.palette.addfavorite,Add to Favorites,,즐겨찾기  추가,,
editor.starcrafting.lable.starcrafting_data,StarCrafting Data,,별 교환 데이터,,
editor.team.label.option,Option,,옵션,,
editor.teamservice.label.option,Option,,옵션,,
editor.teamservice.label.distributiontype,Distribution Type,,분배방식,,
editor.teamservice.label.keeppreviousteam,Keep Previous Team,,이전 팀 유지,,
editor.teamvo.label.teamname,Team Name,,팀 이름,,
editor.teamvo.label.teamcolor,Team Color,,팀 색상,,
editor.teamvo.label.teammembers,Team Members,,팀원 수,,
editor.window.button.add_character,Add Character,,캐릭터 추가,,
editor.window.button.add_data,Add Data,,데이터 추가,,
editor.window.button.add_item,Add Item,,아이템 추가,,
editor.window.button.add_list,Add List,,리스트 추가,,
editor.window.button.newstage.createstage,Create Stage,,스테이지 생성,,
editor.window.button.addstage,Add Stage,,스테이지 추가,,
editor.window.button.addround,Add Round,,라운드 추가,,
editor.window.button.addcomponent,Add Component,,컴포넌트 추가,,
editor.window.context.palette.create_device,Create Device,,디바이스 생성,,
editor.window.context.palette.create_folder,Create Folder,,폴더 생성,,
editor.window.context.palette.create_lua_script,Create Lua Script,,루아 애셋 생성,,
editor.window.context.palette.create_prop,Create Prop,,프롭 생성,,
editor.window.context.palette.create_scene,Create Scene,,씬 생성,,
editor.window.context.palette.create_material,Create Material,,머티리얼  생성,,
editor.window.context.palette.createdevice.common_device,Common Device,,일반 장치,,
editor.window.context.palette.createdevice.gimmick_device,Gimmick Device,,기믹 장치,,
editor.window.label.language_setting.editor_language,Editor Language,,에디터 언어,,
editor.window.label.language_setting.game_language,Game Language,,게임 언어,,
editor.window.label.language_setting.source_language,Source Language,,게임 제작 언어,,
editor.window.label.language_setting.native_language,UI Display Language,,UI 표시 언어,,
editor.window.label.language_setting.support_Language,Supported Languages,,지원 언어,,
editor.window.label.game_setting.game.game_scene,Game Scene,,게임 씬,,
editor.window.label.game_setting.game.desc,The game scene is automatically set to the scene currently open in the editor.,,게임 씬은 어디터에 오프한 씬을 자동으로 설정합니다.,,
editor.window.label.game_setting.game.scene_asset,Scene Asset,,씬 에셋,,
editor.window.label.game_setting.game.scene_data,Scene Data,,씬 데이터,,
editor.window.label.game_setting.game.open_scene,Open Scene,,씬 열기,,
editor.window.label.game_setting.game.AdditionalRecruitment ,Additional Recruitment Time,,추가 인원 모집 시간,,
editor.window.label.game_setting.game.MaxPlayerCount,Max Players,,최대 인원 수,,
