Key,English,Japanese,Korean,ChineseSimplified,ChineseTraditional
editor.previewsetting.enablemousecursorlock,Enable Mouse Cursor Lock (Toggle to Esc),,마우스 커서 잠금 활성 (Esc로 토글),,
editor.previewsetting.hotkeyguide,Hotkey Guide,,핫키 가이드,,
editor.previewsetting.mousecursorlock,Mouse Cursor Lock,,마우스 커서 잠금,,
editor.window.label.input.input_setting,Input Setting,,인풋 설정,,
editor.window.label.input.ignore_lock,Ignore Lock,,잠금 무시,,
editor.window.leaderboard.schema_change_warning,The leaderboard is already published. Changes will reset it.,,현재 리더보드의 출판을 시도한 적이 있습니다. 이 데이터를 변경하면 리더보드가 초기화 될 수 있습니다. ,,
editor.common.change,Change,,변경 하기,,
editor.inputsetting.bindingname,Binding Name,,바인딩 네임,,
editor.inputsetting.path,Path,,패스,,
popup.notice.project_id_missing_main,"An unknown project ID.
It may be a project registered under another account, or a project that was deleted in the Creator Center. You can continue editing after removing the project ID.",,"알수 없는 Project ID.
다른 계정에서 등록한 프로젝트이거나 창작자센터에서 삭제한 프로젝트 입니다.
프로젝트 ID를 삭제한후 편집을 계속 할 수 있습니다.",,
popup.notice.project_id_missing_delete,Delete Project ID,,프로젝트 ID 삭제,,
popup.notice.project_id_missing_close,Close Project,,프로젝트 닫기,,
